# Существительное

N:0:pA	NCXXNXXAP
V:Part:PT-:pass:a:msI	PPPPMISF
V:Part:PT-:pass:a:msL	PPPPMLSF
V:Part:PT-:pass:a:msN	PPPPMNSF
V:Part:PT-:pass:a:nsA	PPPPNASF
V:Part:PT-:pass:a:nsD	PPPPNDSF
V:Part:PT-:pass:a:nsG	PPPPNGSF
V:Part:PT-:pass:a:nsI	PPPPNISF
V:Part:PT-:pass:a:nsL	PPPPNLSF
V:Part:PT-:pass:a:nsN	PPPPNNSF

V:Part:DD-:pass:fs:sh	PPXDFNSS
V:Part:DD-:pass:ms:sh	PPXDMNSS
V:Part:DD-:pass:ns:sh	PPXDNNSS
V:Part:DD-:pass:0p:sh	PPXDXNPS
	
V:Part:DI-:pass:fs:sh	PPXDFNSS
V:Part:DI-:pass:ms:sh	PPXDMNSS
V:Part:DI-:pass:ns:sh	PPXDNNSS
V:Part:DI-:pass:0p:sh	PPXDXNPS
	
V:Part:DT-:pass:fs:sh	PPXDFNSS
V:Part:DT-:pass:ms:sh	PPXDMNSS
V:Part:DT-:pass:ns:sh	PPXDNNSS
V:Part:DT-:pass:0p:sh	PPXDXNPS
	
V:Part:ID-:pass:fs:sh	PPXIFNSS
V:Part:ID-:pass:ms:sh	PPXIMNSS
V:Part:ID-:pass:ns:sh	PPXINNSS
V:Part:ID-:pass:0p:sh	PPXIXNPS
	
V:Part:II-:pass:fs:sh	PPXIFNSS
V:Part:II-:pass:ms:sh	PPXIMNSS
V:Part:II-:pass:ns:sh	PPXINNSS
V:Part:II-:pass:0p:sh	PPXIXNPS
	
V:Part:IT-:pass:fs:sh	PPXIFNSS
V:Part:IT-:pass:ms:sh	PPXIMNSS
V:Part:IT-:pass:ns:sh	PPXINNSS
V:Part:IT-:pass:0p:sh	PPXIXNPS
	
V:Part:PD-:pass:fs:sh	PPXPFNSS
V:Part:PD-:pass:ms:sh	PPXPMNSS
V:Part:PD-:pass:ns:sh	PPXPNNSS
V:Part:PD-:pass:0p:sh	PPXPXNPS
	
V:Part:PI-:pass:fs:sh	PPXPFNSS
V:Part:PI-:pass:ms:sh	PPXPMNSS
V:Part:PI-:pass:ns:sh	PPXPNNSS
V:Part:PI-:pass:0p:sh	PPXPXNPS
	
V:Part:PT-:pass:fs:sh	PPXPFNSS
V:Part:PT-:pass:ms:sh	PPXPMNSS
V:Part:PT-:pass:ns:sh	PPXPNNSS
V:Part:PT-:pass:0p:sh	PPXPXNPS

V:Part:DD-:pass:a:fs:sh	PPPDFNSS
V:Part:DD-:pass:a:ms:sh	PPPDMNSS
V:Part:DD-:pass:a:ns:sh	PPPDNNSS
V:Part:DD-:pass:a:0p:sh	PPPDXNPS
	
V:Part:DI-:pass:a:fs:sh	PPPDFNSS
V:Part:DI-:pass:a:ms:sh	PPPDMNSS
V:Part:DI-:pass:a:ns:sh	PPPDNNSS
V:Part:DI-:pass:a:0p:sh	PPPDXNPS
	
V:Part:DT-:pass:a:fs:sh	PPPDFNSS
V:Part:DT-:pass:a:ms:sh	PPPDMNSS
V:Part:DT-:pass:a:ns:sh	PPPDNNSS
V:Part:DT-:pass:a:0p:sh	PPPDXNPS
	
V:Part:ID-:pass:a:fs:sh	PPPIFNSS
V:Part:ID-:pass:a:ms:sh	PPPIMNSS
V:Part:ID-:pass:a:ns:sh	PPPINNSS
V:Part:ID-:pass:a:0p:sh	PPPIXNPS
	
V:Part:II-:pass:a:fs:sh	PPPIFNSS
V:Part:II-:pass:a:ms:sh	PPPIMNSS
V:Part:II-:pass:a:ns:sh	PPPINNSS
V:Part:II-:pass:a:0p:sh	PPPIXNPS
	
V:Part:IT-:pass:a:fs:sh	PPPIFNSS
V:Part:IT-:pass:a:ms:sh	PPPIMNSS
V:Part:IT-:pass:a:ns:sh	PPPINNSS
V:Part:IT-:pass:a:0p:sh	PPPIXNPS
	
V:Part:PD-:pass:a:fs:sh	PPPPFNSS
V:Part:PD-:pass:a:ms:sh	PPPPMNSS
V:Part:PD-:pass:a:ns:sh	PPPPNNSS
V:Part:PD-:pass:a:0p:sh	PPPPXNPS
	
V:Part:PI-:pass:a:fs:sh	PPPPFNSS
V:Part:PI-:pass:a:ms:sh	PPPPMNSS
V:Part:PI-:pass:a:ns:sh	PPPPNNSS
V:Part:PI-:pass:a:0p:sh	PPPPXNPS
	
V:Part:PT-:pass:a:fs:sh	PPPPFNSS
V:Part:PT-:pass:a:ms:sh	PPPPMNSS
V:Part:PT-:pass:a:ns:sh	PPPPNNSS
V:Part:PT-:pass:a:0p:sh	PPPPXNPS

V:Part:DD-:pass:p:fs:sh	PPRDFNSS
V:Part:DD-:pass:p:ms:sh	PPRDMNSS
V:Part:DD-:pass:p:ns:sh	PPRDNNSS
V:Part:DD-:pass:p:0p:sh	PPRDXNPS
	
V:Part:DI-:pass:p:fs:sh	PPRDFNSS
V:Part:DI-:pass:p:ms:sh	PPRDMNSS
V:Part:DI-:pass:p:ns:sh	PPRDNNSS
V:Part:DI-:pass:p:0p:sh	PPRDXNPS
	
V:Part:DT-:pass:p:fs:sh	PPRDFNSS
V:Part:DT-:pass:p:ms:sh	PPRDMNSS
V:Part:DT-:pass:p:ns:sh	PPRDNNSS
V:Part:DT-:pass:p:0p:sh	PPRDXNPS
	
V:Part:ID-:pass:p:fs:sh	PPRIFNSS
V:Part:ID-:pass:p:ms:sh	PPRIMNSS
V:Part:ID-:pass:p:ns:sh	PPRINNSS
V:Part:ID-:pass:p:0p:sh	PPRIXNPS
	
V:Part:II-:pass:p:fs:sh	PPRIFNSS
V:Part:II-:pass:p:ms:sh	PPRIMNSS
V:Part:II-:pass:p:ns:sh	PPRINNSS
V:Part:II-:pass:p:0p:sh	PPRIXNPS
	
V:Part:IT-:pass:p:fs:sh	PPRIFNSS
V:Part:IT-:pass:p:ms:sh	PPRIMNSS
V:Part:IT-:pass:p:ns:sh	PPRINNSS
V:Part:IT-:pass:p:0p:sh	PPRIXNPS
	
V:Part:PD-:pass:p:fs:sh	PPRPFNSS
V:Part:PD-:pass:p:ms:sh	PPRPMNSS
V:Part:PD-:pass:p:ns:sh	PPRPNNSS
V:Part:PD-:pass:p:0p:sh	PPRPXNPS
	
V:Part:PI-:pass:p:fs:sh	PPRPFNSS
V:Part:PI-:pass:p:ms:sh	PPRPMNSS
V:Part:PI-:pass:p:ns:sh	PPRPNNSS
V:Part:PI-:pass:p:0p:sh	PPRPXNPS
	
V:Part:PT-:pass:p:fs:sh	PPRPFNSS
V:Part:PT-:pass:p:ms:sh	PPRPMNSS
V:Part:PT-:pass:p:ns:sh	PPRPNNSS
V:Part:PT-:pass:p:0p:sh	PPRPXNPS

# Прилагательное

Adj:Abbr	AXPXXXX

Adj:0pA	AXPXAPF
Adj:0pD	AXPXDPF
Adj:0pG	AXPXGPF
Adj:0pI	AXPXIPF
Adj:0pL	AXPXLPF
Adj:0pN	AXPXNPF
	
Adj:fsA	AXPFASF
Adj:fsD	AXPFDSF
Adj:fsG	AXPFGSF
Adj:fsI	AXPFISF
Adj:fsL	AXPFLSF
Adj:fsN	AXPFNSF
	
Adj:msA	AXPMASF
Adj:msD	AXPMDSF
Adj:msG	AXPMGSF
Adj:msI	AXPMISF
Adj:msL	AXPMLSF
Adj:msN	AXPMNSF
	
Adj:nsA	AXPNASF
Adj:nsD	AXPNDSF
Adj:nsG	AXPNGSF
Adj:nsI	AXPNISF
Adj:nsL	AXPNLSF
Adj:nsN	AXPNNSF

Adj:ms:sh	AQPMNSS
Adj:fs:sh	AQPFNSS
Adj:ns:sh	AQPNNSS
Adj:0p:sh	AQPXNPS

Adj:Comp	AQCXXXX
	
Adj:Comp:0pA	AQCXAPF
Adj:Comp:0pD	AQCXDPF
Adj:Comp:0pG	AQCXGPF
Adj:Comp:0pI	AQCXIPF
Adj:Comp:0pL	AQCXLPF
Adj:Comp:0pN	AQCXNPF
	
Adj:Comp:fsA	AQCFASF
Adj:Comp:fsD	AQCFDSF
Adj:Comp:fsG	AQCFGSF
Adj:Comp:fsI	AQCFISF
Adj:Comp:fsL	AQCFLSF
Adj:Comp:fsN	AQCFNSF
	
Adj:Comp:msA	AQCMASF
Adj:Comp:msD	AQCMDSF
Adj:Comp:msG	AQCMGSF
Adj:Comp:msI	AQCMISF
Adj:Comp:msL	AQCMLSF
Adj:Comp:msN	AQCMNSF
	
Adj:Comp:nsA	AQCNASF
Adj:Comp:nsD	AQCNDSF
Adj:Comp:nsG	AQCNGSF
Adj:Comp:nsI	AQCNISF
Adj:Comp:nsL	AQCNLSF
Adj:Comp:nsN	AQCNNSF
	
Adj:Sup:0pA	AQSXAPF
Adj:Sup:0pD	AQSXDPF
Adj:Sup:0pG	AQSXGPF
Adj:Sup:0pI	AQSXIPF
Adj:Sup:0pL	AQSXLPF
Adj:Sup:0pN	AQSXNPF
	
Adj:Sup:fsA	AQSFASF
Adj:Sup:fsD	AQSFDSF
Adj:Sup:fsG	AQSFGSF
Adj:Sup:fsI	AQSFISF
Adj:Sup:fsL	AQSFLSF
Adj:Sup:fsN	AQSFNSF
	
Adj:Sup:msA	AQSMASF
Adj:Sup:msD	AQSMDSF
Adj:Sup:msG	AQSMGSF
Adj:Sup:msI	AQSMISF
Adj:Sup:msL	AQSMLSF
Adj:Sup:msN	AQSMNSF
	
Adj:Sup:nsA	AQSNASF
Adj:Sup:nsD	AQSNDSF
Adj:Sup:nsG	AQSNGSF
Adj:Sup:nsI	AQSNISF
Adj:Sup:nsL	AQSNLSF
Adj:Sup:nsN	AQSNNSF

# Числительное

NumCard	MXCXXX
NumCard:Abbr	MXCXXX

NumColl	MXKXXX

NumOrd:0pA	MAOXAP
NumOrd:0pD	MAOXDP
NumOrd:0pG	MAOXGP
NumOrd:0pI	MAOXIP
NumOrd:0pL	MAOXLP
NumOrd:0pN	MAOXNP

NumOrd:fsA	MAOFAS
NumOrd:fsD	MAOFDS
NumOrd:fsG	MAOFGS
NumOrd:fsI	MAOFIS
NumOrd:fsL	MAOFLS
NumOrd:fsN	MAOFNS

NumOrd:msA	MAOMAS
NumOrd:msD	MAOMDS
NumOrd:msG	MAOMGS
NumOrd:msI	MAOMIS
NumOrd:msL	MAOMLS
NumOrd:msN	MAOMNS

NumOrd:nsA	MAONAS
NumOrd:nsD	MAONDS
NumOrd:nsG	MAONGS
NumOrd:nsI	MAONIS
NumOrd:nsL	MAONLS
NumOrd:nsN	MAONNS

# Местоимение

Pron:pers:1:sA	SXP1XAS
Pron:pers:1:sD	SXP1XDS
Pron:pers:1:sG	SXP1XGS
Pron:pers:1:sI	SXP1XIS
Pron:pers:1:sL	SXP1XLS
Pron:pers:1:sN	SXP1XNS

Pron:pers:2:sA	SXP2XAS
Pron:pers:2:sD	SXP2XDS
Pron:pers:2:sG	SXP2XGS
Pron:pers:2:sI	SXP2XIS
Pron:pers:2:sL	SXP2XLS
Pron:pers:2:sN	SXP2XNS

Pron:pers:3:msA	SXP3MAS
Pron:pers:3:msD	SXP3MDS
Pron:pers:3:msG	SXP3MGS
Pron:pers:3:msI	SXP3MIS
Pron:pers:3:msL	SXP3MLS
Pron:pers:3:msN	SXP3MNS

Pron:pers:3:fsA	SXP3FAS
Pron:pers:3:fsD	SXP3FDS
Pron:pers:3:fsG	SXP3FGS
Pron:pers:3:fsI	SXP3FIS
Pron:pers:3:fsL	SXP3FLS
Pron:pers:3:fsN	SXP3FNS

Pron:pers:3:nsA	SXP3NAS
Pron:pers:3:nsD	SXP3NDS
Pron:pers:3:nsG	SXP3NGS
Pron:pers:3:nsI	SXP3NIS
Pron:pers:3:nsL	SXP3NLS
Pron:pers:3:nsN	SXP3NNS

Pron:pers:1:pA	SXP1XAP
Pron:pers:1:pD	SXP1XDP
Pron:pers:1:pG	SXP1XGP
Pron:pers:1:pI	SXP1XIP
Pron:pers:1:pL	SXP1XLP
Pron:pers:1:pN	SXP1XNP

Pron:pers:2:pA	SXP2XAP
Pron:pers:2:pD	SXP2XDP
Pron:pers:2:pG	SXP2XGP
Pron:pers:2:pI	SXP2XIP
Pron:pers:2:pL	SXP2XLP
Pron:pers:2:pN	SXP2XNP

Pron:pers:3:pA	SXP3XAP
Pron:pers:3:pD	SXP3XDP
Pron:pers:3:pG	SXP3XGP
Pron:pers:3:pI	SXP3XIP
Pron:pers:3:pL	SXP3XLP
Pron:pers:3:pN	SXP3XNP

Pron:dem:0pA	SADXXAP
Pron:dem:0pD	SADXXDP
Pron:dem:0pG	SADXXGP
Pron:dem:0pI	SADXXIP
Pron:dem:0pL	SADXXLP
Pron:dem:0pN	SADXXNP
	
Pron:dem:fsA	SADXFAS
Pron:dem:fsD	SADXFDS
Pron:dem:fsG	SADXFGS
Pron:dem:fsI	SADXFIS
Pron:dem:fsL	SADXFLS
Pron:dem:fsN	SADXFNS
	
Pron:dem:msA	SADXMAS
Pron:dem:msD	SADXMDS
Pron:dem:msG	SADXMGS
Pron:dem:msI	SADXMIS
Pron:dem:msL	SADXMLS
Pron:dem:msN	SADXMNS
	
Pron:dem:nsA	SADXNAS
Pron:dem:nsD	SADXNDS
Pron:dem:nsG	SADXNGS
Pron:dem:nsI	SADXNIS
Pron:dem:nsL	SADXNLS
Pron:dem:nsN	SADXNNS
	
Pron:dem:pA	SXDXXAP
Pron:dem:pD	SXDXXDP
Pron:dem:pG	SXDXXGP
Pron:dem:pI	SXDXXIP
Pron:dem:pL	SXDXXLP
Pron:dem:pN	SXDXXNP
	
Pron:det:0pA	SAEXXAP
Pron:det:0pD	SAEXXDP
Pron:det:0pG	SAEXXGP
Pron:det:0pI	SAEXXIP
Pron:det:0pL	SAEXXLP
Pron:det:0pN	SAEXXNP
	
Pron:det:fsA	SAEXFAS
Pron:det:fsD	SAEXFDS
Pron:det:fsG	SAEXFGS
Pron:det:fsI	SAEXFIS
Pron:det:fsL	SAEXFLS
Pron:det:fsN	SAEXFNS
	
Pron:det:msA	SAEXMAS
Pron:det:msD	SAEXMDS
Pron:det:msG	SAEXMGS
Pron:det:msI	SAEXMIS
Pron:det:msL	SAEXMLS
Pron:det:msN	SAEXMNS
	
Pron:det:nsA	SAEXNAS
Pron:det:nsD	SAEXNDS
Pron:det:nsG	SAEXNGS
Pron:det:nsI	SAEXNIS
Pron:det:nsL	SAEXNLS
Pron:det:nsN	SAEXNNS

Pron:det:0	SAEXXXX

Pron:ind:0pA	SAFXXAP
Pron:ind:0pD	SAFXXDP
Pron:ind:0pG	SAFXXGP
Pron:ind:0pI	SAFXXIP
Pron:ind:0pL	SAFXXLP
Pron:ind:0pN	SAFXXNP
	
Pron:ind:fsA	SAFXFAS
Pron:ind:fsD	SAFXFDS
Pron:ind:fsG	SAFXFGS
Pron:ind:fsI	SAFXFIS
Pron:ind:fsL	SAFXFLS
Pron:ind:fsN	SAFXFNS
	
Pron:ind:msA	SAFXMAS
Pron:ind:msD	SAFXMDS
Pron:ind:msG	SAFXMGS
Pron:ind:msI	SAFXMIS
Pron:ind:msL	SAFXMLS
Pron:ind:msN	SAFXMNS
	
Pron:ind:nsA	SAFXNAS
Pron:ind:nsD	SAFXNDS
Pron:ind:nsG	SAFXNGS
Pron:ind:nsI	SAFXNIS
Pron:ind:nsL	SAFXNLS
Pron:ind:nsN	SAFXNNS
	
Pron:ind:pA	SXFXXAP
Pron:ind:pD	SXFXXDP
Pron:ind:pG	SXFXXGP
Pron:ind:pI	SXFXXIP
Pron:ind:pL	SXFXXLP
Pron:ind:pN	SXFXXNP
	
Pron:ind:sA	SXFXXAS
Pron:ind:sD	SXFXXDS
Pron:ind:sG	SXFXXGS
Pron:ind:sI	SXFXXIS
Pron:ind:sL	SXFXXLS
Pron:ind:sN	SXFXXNS
	
Pron:neg:0pA	SANXXAP
Pron:neg:0pD	SANXXDP
Pron:neg:0pG	SANXXGP
Pron:neg:0pI	SANXXIP
Pron:neg:0pL	SANXXLP
Pron:neg:0pN	SANXXNP
	
Pron:neg:fsA	SANXFAS
Pron:neg:fsD	SANXFDS
Pron:neg:fsG	SANXFGS
Pron:neg:fsI	SANXFIS
Pron:neg:fsL	SANXFLS
Pron:neg:fsN	SANXFNS
	
Pron:neg:msA	SANXMAS
Pron:neg:msD	SANXMDS
Pron:neg:msG	SANXMGS
Pron:neg:msI	SANXMIS
Pron:neg:msL	SANXMLS
Pron:neg:msN	SANXMNS
	
Pron:neg:nsA	SANXNAS
Pron:neg:nsD	SANXNDS
Pron:neg:nsG	SANXNGS
Pron:neg:nsI	SANXNIS
Pron:neg:nsL	SANXNLS
Pron:neg:nsN	SANXNNS
	
Pron:neg:sA	SXNXXAS
Pron:neg:sD	SXNXXDS
Pron:neg:sG	SXNXXGS
Pron:neg:sI	SXNXXIS
Pron:neg:sL	SXNXXLS
Pron:neg:sN	SXNXXNS

Pron:poss:0	SXSXXXX
	
Pron:poss:0pA	SASXXAP
Pron:poss:0pD	SASXXDP
Pron:poss:0pG	SASXXGP
Pron:poss:0pI	SASXXIP
Pron:poss:0pL	SASXXLP
Pron:poss:0pN	SASXXNP
	
Pron:poss:fsA	SASXFAS
Pron:poss:fsD	SASXFDS
Pron:poss:fsG	SASXFGS
Pron:poss:fsI	SASXFIS
Pron:poss:fsL	SASXFLS
Pron:poss:fsN	SASXFNS
	
Pron:poss:msA	SASXMAS
Pron:poss:msD	SASXMDS
Pron:poss:msG	SASXMGS
Pron:poss:msI	SASXMIS
Pron:poss:msL	SASXMLS
Pron:poss:msN	SASXMNS
	
Pron:poss:nsA	SASXNAS
Pron:poss:nsD	SASXNDS
Pron:poss:nsG	SASXNGS
Pron:poss:nsI	SASXNIS
Pron:poss:nsL	SASXNLS
Pron:poss:nsN	SASXNNS

Pron:refl:sA	SXRXXAS
Pron:refl:sD	SXRXXDS
Pron:refl:sG	SXRXXGS
Pron:refl:sI	SXRXXIS
Pron:refl:sL	SXRXXLS
	
Pron:rel:0pA	SALXXAP
Pron:rel:0pD	SALXXDP
Pron:rel:0pG	SALXXGP
Pron:rel:0pI	SALXXIP
Pron:rel:0pL	SALXXLP
Pron:rel:0pN	SALXXNP
	
Pron:rel:fsA	SALXFAS
Pron:rel:fsD	SALXFDS
Pron:rel:fsG	SALXFGS
Pron:rel:fsI	SALXFIS
Pron:rel:fsL	SALXFLS
Pron:rel:fsN	SALXFNS
	
Pron:rel:msA	SALXMAS
Pron:rel:msD	SALXMDS
Pron:rel:msG	SALXMGS
Pron:rel:msI	SALXMIS
Pron:rel:msL	SALXMLS
Pron:rel:msN	SALXMNS
	
Pron:rel:nsA	SALXNAS
Pron:rel:nsD	SALXNDS
Pron:rel:nsG	SALXNGS
Pron:rel:nsI	SALXNIS
Pron:rel:nsL	SALXNLS
Pron:rel:nsN	SALXNNS
	
Pron:rel:pA	SXLXXAP
Pron:rel:pD	SXLXXDP
Pron:rel:pG	SXLXXGP
Pron:rel:pI	SXLXXIP
Pron:rel:pL	SXLXXLP
Pron:rel:pN	SXLXXNP
	
Pron:rel:sA	SXLXXAS
Pron:rel:sD	SXLXXDS
Pron:rel:sG	SXLXXGS
Pron:rel:sI	SXLXXIS
Pron:rel:sL	SXLXXLS
Pron:rel:sN	SXLXXNS

# Наречие

Adv	RP
Adv:Comp	RC
Adv:Sup	RS

# Предикативное слово

Pred	W

# Предлог

Prep	I

# Союз

Conj:coord	CK
Conj:sub	CS

# Частица

Pcle	E
Postfix	E

# Модальное слово

Mod	Z

# Междометие

Excl	Y

# Знак препинания

Punc	PM
Symb	PM:Symb
Tag	PM:Symb
